Date,Launch Time (UTC),Missile Name,Missile Type,Facility Latitude,Facility Longitude,Landing Location,Apogee,Distance Travelled,Confirmation Status,Test Outcome
8-Feb-15,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Confirmed
8-Feb-15,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Confirmed
8-Feb-15,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Confirmed
1-Mar-15,unknown,Scud-C,SRBM,38.7523,125.3247,don’t care,134 km,490 km,Confirmed,1
1-Mar-15,unknown,Scud-C,SRBM,38.7523,125.3247,don’t care,134 km,490 km,Confirmed,1
2-Apr-15,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Confirmed
3-Apr-15,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Confirmed
3-Apr-15,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Confirmed
3-Apr-15,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Confirmed
3-Apr-15,unknown,KN-02,SRBM,don’t care,39.40167,127.5369,don’t care,Unknown,Unknown,Confirmed
8-May-15,unknown,Pukguksong-1,SLBM,40.0368,128.1839,don’t care,Unknown,Unknown,Confirmed,1
28-Nov-15,unknown,Pukguksong-1,SLBM,40.0368,128.1839,don’t care,N/A,N/A,Confirmed,0
21-Dec-15,unknown,Pukguksong-1,SLBM,40.0368,128.1839,don’t care,N/A,N/A,Confirmed,0
7-Feb-16,12:29:00 AM,Unha-3,SLV,don’t care,39.6596,124.7057,don’t care,502 km,N/A,Confirmed
10-Mar-16,unknow ,Scud-C,SRBM,don’t care,38.686834,125.702005,don’t care,Unknown,Unknown,Confirmed
10-Mar-16,unknow ,Scud-C,SRBM,don’t care,38.686834,125.702005,don’t care,Unknown,Unknown,Confirmed
18-Mar-16,unknow ,Nodong,MRBM,39.412594,125.89031,don’t care,Unknown,800 km,Confirmed,1
18-Mar-16,unknow ,Nodong,MRBM,39.412594,125.89031,don’t care,17 km,Unknown,Confirmed,0
15-Apr-16,8:33:00 PM,Musudan,IRBM,don’t care,39.1677,127.4817,don’t care,Unknown,Unknown,Confirmed
23-Apr-16,9:29:00 AM,Pukguksong-1,SLBM,40.0368,128.1839,don’t care,Unknown,30 km,Confirmed,1
27-Apr-16,9:33:00 PM,Musudan,IRBM,don’t care,39.1677,127.4817,don’t care,Unknown,Unknown,Confirmed
28-Apr-16,10:24:00 AM,Musudan,IRBM,don’t care,39.1677,127.4817,don’t care,Unknown,Unknown,Confirmed
30-May-16,8:30:00 PM,Musudan,IRBM,don’t care,39.1677,127.4817,don’t care,Unknown,Unknown,Confirmed
21-Jun-16,8:56:00 PM,Musudan,IRBM,don’t care,39.1677,127.4817,don’t care,Unknown,Unknown,Confirmed
21-Jun-16,11:03:00 PM,Musudan,IRBM,don’t care,39.1677,127.4817,don’t care,1400 km,400 km,Confirmed
9-Jul-16,2:28:00 AM,Pukguksong-1,SLBM,40.0368,128.1839,don’t care,10 km,Unknown,Confirmed,0
18-Jul-16,8:44:00 PM,Scud-C,SRBM,don’t care,38.686834,125.702005,don’t care,Unknown,Unknown,Confirmed
18-Jul-16,8:58:00 PM,Scud-C,SRBM,don’t care,38.686834,125.702005,don’t care,Unknown,Unknown,Confirmed
18-Jul-16,9:35:00 PM,Nodong,MRBM,don’t care,38.686834,125.702005,don’t care,Unknown,500 km,Confirmed
2-Aug-16,10:53:00 PM,Nodong,MRBM,don’t care,38.686834,125.702005,don’t care,Unknown,1000 km,Confirmed
2-Aug-16,10:53:00 PM,Nodong,MRBM,don’t care,38.686834,125.702005,don’t care,Unknown,Unknown,Confirmed
23-Aug-16,8:29:00 PM,Pukguksong-1,SLBM,40.0368,128.1839,don’t care,Unknown,500 km,Confirmed,1
